id,name,type,status,priority,description,location_name,lat,lng,funding_fy25,funding_fy26,funding_fy27,funding_fy28,funding_fy29,funding_future,funding_source,department,start_date,construction_start,end_date,link
1,US 64/Laura Duncan Road Interchange,Transportation,Design,Critical,"Major interchange improvements to reduce congestion and improve safety at the US 64 and Laura Duncan Road intersection. Project includes new ramp configurations and signal upgrades.",Laura Duncan Rd & US 64,35.7421,-78.8712,500000,2500000,8000000,5000000,0,0,Bonds/NCDOT,Public Works,2025-03-01,2026-06-01,2028-12-31,https://www.apexnc.org/projects/us64-laura-duncan
2,Downtown Streetscape Phase 2,Transportation,Planning,High,"Continuation of downtown streetscape improvements including new sidewalks, street furniture, lighting, and landscaping along Salem Street from Center Street to Saunders Street.",Downtown Salem Street,35.7308,-78.8497,150000,800000,1200000,0,0,0,General Fund,Public Works,2025-06-01,2026-03-01,2027-06-30,https://www.apexnc.org/projects/downtown-streetscape
3,Apex Nature Park Expansion,Parks & Recreation,Under Construction,High,"Expansion of Apex Nature Park to include new trails, picnic shelters, playground equipment, and improved parking facilities. Adds 25 acres to the existing park.",Apex Nature Park,35.7156,-78.8423,1500000,500000,0,0,0,0,Parks Bond,Parks & Recreation,2024-01-15,2024-09-01,2025-08-31,https://www.apexnc.org/projects/nature-park
4,Water Treatment Plant Upgrade,Water/Sewer,Design,Critical,"Upgrade water treatment capacity from 12 MGD to 16 MGD to meet projected growth demands. Includes new filtration systems and chemical feed improvements.",Water Treatment Plant,35.7489,-78.8234,2000000,5000000,8000000,3000000,0,0,Water/Sewer Fund,Utilities,2025-01-01,2026-01-01,2028-06-30,https://www.apexnc.org/projects/wtp-upgrade
5,Fire Station #4,Public Safety,Planning,Critical,"New fire station to serve the growing southwestern portion of Apex. Includes apparatus bays, living quarters, training facilities, and emergency operations space.",SW Apex Area,35.7089,-78.8901,500000,3500000,4000000,0,0,0,Bonds,Fire Department,2025-09-01,2026-06-01,2027-12-31,https://www.apexnc.org/projects/fire-station-4
6,Beaver Creek Greenway Extension,Parks & Recreation,Planning,Medium,"Extension of the Beaver Creek Greenway from the American Tobacco Trail connection south to Kelly Road, adding 2.3 miles of paved multi-use path.",Beaver Creek Corridor,35.7234,-78.8356,200000,600000,1500000,800000,0,0,Parks Bond/Grants,Parks & Recreation,2025-04-01,2026-08-01,2028-03-31,https://www.apexnc.org/projects/greenway-extension
7,Stormwater Infrastructure - Olive Chapel Basin,Stormwater,Bid/Award,High,"Major stormwater improvements in the Olive Chapel basin to address recurring flooding issues. Includes culvert replacements, channel improvements, and new detention facilities.",Olive Chapel Road Area,35.7567,-78.8678,800000,2200000,0,0,0,0,Stormwater Fund,Public Works,2025-02-01,2025-05-01,2026-06-30,https://www.apexnc.org/projects/olive-chapel-stormwater
8,Town Hall Renovation,Facilities,Planning,Medium,"Comprehensive renovation of Town Hall to improve energy efficiency, ADA accessibility, and workspace functionality. Includes HVAC replacement and roof repairs.",Town Hall,35.7312,-78.8501,100000,400000,2000000,1500000,0,0,General Fund,General Services,2025-07-01,2027-01-01,2028-06-30,https://www.apexnc.org/projects/town-hall-reno
9,Wastewater System Rehabilitation,Water/Sewer,Under Construction,High,"Rehabilitation and replacement of aging sewer lines in the historic downtown area. Includes slip-lining, pipe bursting, and manhole rehabilitation.",Downtown Service Area,35.7298,-78.8489,1200000,800000,500000,0,0,0,Water/Sewer Fund,Utilities,2024-06-01,2024-10-01,2026-03-31,https://www.apexnc.org/projects/sewer-rehab
10,Community Park Athletic Complex,Parks & Recreation,Design,High,"New athletic complex featuring four multi-use fields, restroom facilities, concessions, and parking. Designed to host regional tournaments.",Community Park,35.7445,-78.8123,300000,1500000,4000000,2500000,0,0,Parks Bond,Parks & Recreation,2025-03-01,2026-09-01,2028-06-30,https://www.apexnc.org/projects/athletic-complex
11,Intelligent Traffic Signal System,Transportation,Planning,Medium,"Implementation of adaptive signal control technology at 25 key intersections to improve traffic flow and reduce congestion. Includes fiber connectivity and central management system.",,,,250000,750000,500000,0,0,500000,General Fund/Grants,Public Works,2025-06-01,2026-01-01,2027-12-31,https://www.apexnc.org/projects/smart-signals
12,Public Safety Training Facility,Public Safety,Planning,Medium,"Joint training facility for Fire and Police departments. Includes driving course, burn building, shooting range, and classroom space.",,,,100000,500000,0,0,0,8000000,Bonds,Police/Fire,2026-01-01,2028-01-01,2030-06-30,https://www.apexnc.org/projects/training-facility
13,Kelly Road Widening,Transportation,Design,High,"Widening Kelly Road from two to four lanes between Apex Barbecue Road and Ten Ten Road. Includes bike lanes, sidewalks, and intersection improvements.",Kelly Road Corridor,35.6978,-78.8567,400000,1800000,5000000,4000000,2000000,0,Bonds/NCDOT,Public Works,2025-02-01,2026-10-01,2029-12-31,https://www.apexnc.org/projects/kelly-road
14,Recycling Center Expansion,Facilities,Completed,Low,"Expansion of the municipal recycling center to add additional material processing capacity and improve traffic flow.",Recycling Center,35.7234,-78.8789,0,0,0,0,0,0,Solid Waste Fund,General Services,2023-06-01,2023-09-01,2024-12-15,https://www.apexnc.org/projects/recycling-expansion
15,Apex Peakway Segment D,Transportation,Planning,Critical,"Final segment of the Apex Peakway connecting NC 55 to US 1. Critical for relieving traffic congestion in central Apex.",Peakway Corridor,35.7389,-78.8234,0,500000,2000000,5000000,8000000,15000000,Bonds/NCDOT,Public Works,2026-01-01,2028-06-01,2032-12-31,https://www.apexnc.org/projects/peakway-d
