id,name,type,status,priority,description,location_name,lat,lng,funding_fy25,funding_fy26,funding_fy27,funding_fy28,funding_fy29,funding_future,total_cost,funding_source,department,start_date,construction_start,end_date,link
1,Old US 1 at Friendship Road Improvements Cost Share,Transportation,Acquisition,Medium,"This project contributes funds toward the construction of a 150' westbound left turn lane on Old US 1 currently in design and a northbound left turn lane on Friendship Road as part of the Holland Road mixed-use development (""The Summit"").",,35.6995469,-78.89677048,0,0,0,0,0,0,200000,Designated Capital Funds,,2024-09-01,2026-02-01,2026-07-01,
2,Pleasant Park Baseball and Softball Complex,"Parks, Recreation & Cultural Resources",Design,Medium,"This project adds a baseball and softball complex to Pleasant Park. There are four lighted synthetic turf fields of ranging sizes, a fieldhouse with restrooms, offices, meeting space, concession space, a maintenance storage building, a concourse with seating, two signature fields with stadium type seating, four batting cages, and support facilities. This project also includes a large picnic shelter with restrooms and associated amenities, a sand volleyball court, and grading, sodding, and irrigation for an open play lawn.",,35.7028751,-78.88378859,0,0,0,0,0,0,"14,350,000",Limited Obligation Bonds,,2024-07-01,2026-07-01,2027-12-01,
3,Tunstall House Restoration,Public Facilities,Construction,Medium,"Restoration of the existing Tunstall House would not only be a prescriptive plan to save the current structure, but also provide long term use as well as mediate deterioration to the existing structure. This project contemplates the historic restoration of the house and contributing outbuildings. The house is suffering from deferred maintenance and currently serves no purpose. The building will maximize its use by utilizing the two rooms of the original structure as public-facing meeting spaces, and utilizing the additions as well as the second floor for Town office space. This will create a more flexible space that can be used by both groups simultaneously.",,35.73425969,-78.84784698,0,0,0,0,0,0,"2,600,000",General Fund / Capital Outlay,,2025-03-01,2025-10-01,2026-06-01,https://www.apexnc.org/2090/Tunstall-House
4,Justice Heights Street Extension,Transportation,Design,Medium,This project includes extending Justice Heights Street from its existing stub west of South Salem Street to intersect with the Apex Peakway and includes sidewalk on the north side of the street. The project would improve local connectivity for traffic flow south of NC 55 and pedestrian connectivity between Salem Street and Apex Peakway through the Justice Heights neighborhood.,,35.72737931,-78.86499166,0,0,0,0,0,0,"1,700,000",General Fund / Capital Outlay,,2025-10-01,2026-04-01,2026-12-01,https://www.apexnc.org/1853/Justice-Heights-Extension
5,Apex Peakway Southwest Connector,Transportation,Construction,Medium,"This project completes a gap in the Apex Peakway by spanning South Salem Street and the CSX S-Line with a four-lane bridge to connect the existing sections of the Peakway. The existing intersection at South Salem Street will be relocated to a new a four-lane loop road connector. Sidewalk will connect along the Peakway on both sides of the bridge, both sides of the new loop road, and along the north side of South Salem Street. Town Council has identified this project as one of its highest priorities but the costs and lack of outside funding have made beginning construction difficult. Funds from a 2015 bond referendum along with some Locally Administered Projects Program (LAPP) funding cover approximately $10.50 million of project costs. The proposed bond referendum would provide the remaining $15.0 million needed to fund the project.",,35.72076836,-78.86501312,0,0,0,0,0,0,"$21,256,132","Designated Capital Funds, General Obligation Bonds",,2017-01-01,2024-10-01,2026-10-01,https://www.apexnc.org/1842/Apex-Peakway-SW-Connector
6,Apex Community Park Playground Renovations,"Parks, Recreation & Cultural Resources",Design,Medium,Design and engineering services to improve ADA Accessibility to an updated playground within the Apex Community Park that includes inclusive elements. The design will replace existing play,,35.75346935,-78.82239819,0,0,0,0,0,0,250000,"General Fund / Capital Outlay, NCDOT",,,,,https://www.facebook.com/terry4apex/posts/pfbid035LsepGnwP7rBzvcYF7hLvzzQurmozfBUHTzQAc35abV925TruQ4kx1Z2Ce3VsNGbl
617,Annual GoApex Transit Improvements,Transportation,Ongoing,Medium,"This annual allocation enhances bus stop amenities (shelters, benches, trash cans, bike racks, lighting, signage, informational materials, etc.) and improves accessibility and safety (increased bicycle and pedestrian infrastructure, lighting, crosswalks, bus pullouts, bumpouts, etc.) for current and potential future GoApex services and potential overlap areas with regional transit service, such as GoCary and GoTriangle.",,,,200000,200000,200000,200000,200000,200000,,"Grants, General Fund / Capital Outlay",,2024-07-01,*,2029-06-30,
618,Annual Miscellaneous Road & Sidewalk Improvements,Transportation,Ongoing,Medium,"This ongoing program addresses various deficiencies throughout Apex’s municipal street system with accessible ramps and crosswalks, sidewalk maintenance, short sidewalk gap connections, traffic control and warning device upgrades, and other related requests to provide a safe and accessible transportation system for all users.",,,,300000,300000,300000,300000,300000,300000,,Designated Capital Funds,,2024-07-01,*,2029-06-30,
619,Annual Pavement Management,Transportation,Ongoing,Medium,"The Town is responsible for maintaining 240 miles of municipal streets with an annual resurfacing contract providing for most pavement maintenance needs. Street mileage is growing annually with ongoing development. A recent survey of our streets revealed that deferred maintenance needs to be addressed. This ongoing program focuses on deficiencies in pavement conditions throughout Apex and addresses issues, such as potholes, alligator cracking, and rutting, to provide a safe and reliable transportation system. This program also includes lower cost pavement preservation tools to extend pavement life cycle and reduce long term resurfacing costs while ensuring curb ramps on all resurfacing projects comply with state and federal mandates. Powell Bill funding is allocated from the State for road maintenance, but current and future resurfacing costs continue to exceed Powell Bill allocations, requiring General Fund revenues to be allocated.",,,,2591200,3750000,3875000,4000000,4125000,4250000,,"Intergovernmental Funds (Powell Bill Revenues), Designated Capital Funds",,2024-07-01,*,2029-06-30,
620,Apex Peakway North Widening,Transportation,Planning,Medium,"This project widens the existing Apex Peakway from a two-lane median-divided road to a four-lane median-divided road. Peak hour traffic exceeds the existing roadway’s capacity, so this widening will reduce queue lengths and delays. Without it, the road will continue to cause longer delays, make access difficult for commuters and emergency vehicles, cause more drivers to divert to other local routes, and increase congestion elsewhere.",,35.73186469,-78.83969307,1200000,9000000,0,0,0,0,,"Designated Capital Funds, General Obligation Bonds",,2024-07-01,,2026-06-30,
621,GPS Emergency Vehicle Preemption,Transportation,Planning,Medium,"This project installs GPS emergency vehicle preemption at 10 traffic signals each year, which allows emergency vehicles to interrupt normal traffic signal timing during an emergency. This project prioritizes major corridors (NC 55, Salem Street, Center Street, Ten Ten Road, Apex Peakway, etc.) and various signals adjacent to those major corridors.",,,,55000,150000,220000,235000,0,0,,General Fund / Capital Outlay,,2024-07-01,,2028-06-30,
622,Olive Chapel Rd at Apex BBQ Rd Improvements,Transportation,Planning,Medium,"This project addresses traffic congestion and reduces potential crashes at the intersection of Olive Chapel Road and Apex Barbecue Road by adding a 150-foot westbound left turn lane, 6-foot paved shoulders allowing for future bike lanes, rumble strips along the edge lines, a wider eastbound right-turn radius, and a wood-pole traffic signal on Olive Chapel Road at Apex Barbecue Road. This project completes a sidewalk gap with 500’ of 10-foot side path eastward along the north side of Olive Chapel Road.",,35.72986154,-78.90612602,550000,150000,500000,0,0,0,,"Designated Capital Funds, Grants, General Fund / Capital Outlay",,2024-07-01,,2027-06-30,
623,Pavement Management Backlog,Transportation,Completed,Medium,"This project reduces the Town’s backlog of needed street rehabilitation. This supplements the Town’s ongoing pavement management program by optimizing pavement management strategies to ensure serviceable road conditions at the lowest cost and provide a safe and reliable transportation system. Without this project, the Town’s street maintenance needs would continue to lag behind, overall street conditions would degrade, and maintenance costs would increase substantially over time.",,,,5000000,0,0,0,0,0,,General Obligation Bonds,,2025-01-01,2025-06-01,2025-12-31,
624,Salem St Downtown Streetscape & Alleys,Transportation,Acquisition,Medium,"This project funds the Saunders Lot overrun, streetscape and alleys property acquisition, curb-less Salem Streetscape, Sauders Street gathering space, and Commerce/Seaboard/Peak Alley improvements. These plans are based on schematic designs approved by Town Council in 2021. Improving these spaces was identified as a ""Top 10"" priority in the Downtown Plan.",,35.73127246,-78.85125875,1000000,2765000,2430000,0,0,0,,General Fund / Capital Outlay,,2022-01-01,2026-01-01,2026-10-01,https://www.apexnc.org/1865/Salem-Streetscape
625,South Salem St Bicycle Connection,Transportation,Planning,Medium,This project includes sharrows (road markings that indicate a shared environment for bicycles and vehicles) along Salem Street from Apex Peakway to Hunter Street and bike lanes along South Salem Street from Pleasant Park to Apex Peakway. This project was the second highest priority identified in Bike Apex: The Comprehensive Bicycle Plan.,,35.72160455,-78.86413336,1062500,2120000,0,0,0,0,,"Grants, General Fund / Capital Outlay",,2024-07-01,,2026-06-30,
